nrate;prate;yield
0;0;458.4
0;30;1197.68
0;60;1248.24
60;60;2854.53
60;30;2649.84
60;0;917.25
120;0;991.94
120;30;2062.85
120;60;3549.44
60;30;2515.45
60;60;4226.31
60;0;598.36
120;0;754.43
120;60;3450.37
120;30;2952.45
0;30;978.32
0;60;1207.63
0;0;432.08
120;0;1319.42
120;30;3211.78
120;60;3948.54
0;60;1718.05
0;30;1189.18
0;0;404.98
60;60;3680.89
60;30;2436.28
60;0;643.16
0;0;505.31
0;30;1529.45
0;60;2348.51
60;60;3114.82
60;30;2487.05
60;0;854
120;0;1373.71
120;30;2523.39
120;60;3545.02
60;30;3349.69
60;60;3623.54
60;0;591.44
120;0;766.49
120;60;3524.54
120;30;2971.29
0;30;1128.38
0;60;1430.11
0;0;518.61
120;0;1285.33
120;30;3164.82
120;60;4919.83
0;60;2021.27
0;30;1859.14
0;0;455.08
60;60;4311.63
60;30;2550.69
60;0;716.14
0;0;83.67
0;30;716.69
0;60;397.34
60;60;1983.56
60;30;1724.88
60;0;1269.78
120;0;1811.45
120;30;3826.48
120;60;3147.13
60;30;3176.29
60;60;3629.86
60;0;444.43
120;0;1114.7
120;60;3519.79
120;30;2352.19
0;30;1646.07
0;60;1589.18
0;0;652.9
120;0;1081.1
120;30;4013.85
120;60;4237.06
0;60;1411.45
0;30;1497.9
0;0;910.42
60;60;3089.4
60;30;3349.2
60;0;843.73
0;0;105.48
0;30;336.63
0;60;577.82
60;60;2811.23
60;30;2523.73
60;0;1629.6
120;0;2451.1
120;30;4203.48
120;60;4076.51
60;30;2717.87
60;60;2621.09
60;0;654.6
120;0;1515.55
120;60;5158.19
120;30;4309.47
0;30;1208.44
0;60;1671.76
0;0;581.83
120;0;1303.09
120;30;4047.11
120;60;5044.16
0;60;1640
0;30;1245.78
0;0;1379.28
60;60;2570.09
60;30;2478.38
60;0;1281.08
0;0;905.87
0;30;1625.85
0;60;2343.12
60;60;4168.31
60;30;3255.22
60;0;2305.05
120;0;2246.11
120;30;3872.06
120;60;4478.1
60;30;2930.84
60;60;3622.56
60;0;1775.51
120;0;2131.25
120;60;4660.28
120;30;4852.54
0;30;1956.24
0;60;2679.02
0;0;908.62
120;0;2192.9
120;30;4025.14
120;60;4910.62
0;60;2104.92
0;30;1643.41
0;0;804.75
60;60;4316
60;30;2995.61
60;0;1226.24
0;0;995.86
0;30;2025.86
0;60;1994.1
60;60;4238.36
60;30;3366.11
60;0;2622.59
120;0;2973.42
120;30;4727.85
120;60;5434.32
60;30;3085.11
60;60;3604.9
60;0;2313.08
120;0;3339.67
120;60;5723.03
120;30;3383.54
0;30;2579.86
0;60;3053.57
0;0;1580.6
120;0;2369.23
120;30;4840.94
120;60;5651.6
0;60;2841.63
0;30;1940.28
0;0;997.75
60;60;3497.44
60;30;3983.29
60;0;1940.96
0;0;0
0;30;630.72
0;60;1472.75
60;60;5464.27
60;30;1159.3
60;0;0
120;0;795.37
120;30;844.73
120;60;1479.09
60;30;3803.09
60;60;3205
60;0;507.81
120;0;542.18
120;60;5155.64
120;30;2450.65
0;30;1027.94
0;60;1210.83
0;0;252.82
120;0;25
120;30;966.61
120;60;5143.66
0;60;1403.14
0;30;758.53
0;0;150.46
60;60;1301.03
60;30;983.04
60;0;38.69
0;0;127
0;30;1305.17
0;60;607.15
60;60;4057.15
60;30;3722.1
60;0;395.91
120;0;237.86
120;30;2034.29
120;60;1695.94
60;30;955.03
60;60;1229.28
60;0;317.88
120;0;201.69
120;60;4293.35
120;30;4309.51
0;30;1390.96
0;60;1055.93
0;0;120.98
120;0;219.8
120;30;3270.63
120;60;5036.16
0;60;903.14
0;30;858.84
0;0;157
60;60;4307.06
60;30;4764.53
60;0;802.3
